player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Ayaaa,GXR,"reyna,jett",245,300.8,1.45,78,187.8,1.01,0.20,0.33,0.13,28,10
whz,Toe,jett,641,299.2,1.44,71,189.1,1.07,0.14,0.22,0.15,32,16
enerii,enerii,"raze,reyna,jett",679,293.4,1.41,78,183.1,1.00,0.27,0.24,0.14,22,18
YCATS,YCATS,"raze,reyna,jett",237,292.3,1.33,76,186.2,0.96,0.25,0.17,0.11,18,5
BABYBAY,FaZe,"raze,jett",521,290.4,1.47,74,187.5,0.99,0.18,0.26,0.17,25,5
Dolph,Dolph,"raze,jett,breach",249,286.8,1.40,76,185.8,0.96,0.22,0.23,0.12,22,16
dodonut,TSM.X,"chamber,jett",465,286.1,1.56,77,178.8,1.00,0.20,0.27,0.12,20,23
Yue,Yue,jett,201,285.0,1.28,75,171.1,0.97,0.17,0.25,0.12,22,13
Lime,AT,"raze,neon,jett",267,282.5,1.41,76,187.5,1.00,0.16,0.19,0.10,29,16
capriciouS,capriciouS,"kayo,chamber,jett",544,282.3,1.49,75,180.7,1.00,0.21,0.18,0.13,30,12
JohnOlsen,FS,"chamber,jett",482,281.1,1.41,74,172.0,1.01,0.14,0.24,0.15,28,14
Foxy9,RIG,jett,232,279.3,1.37,75,172.7,0.99,0.13,0.24,0.14,28,24
Ivy,Ivy,"raze,reyna,jett",264,278.2,1.37,71,182.1,0.99,0.14,0.22,0.13,28,29
Kohaibi,SMG,"raze,reyna,sage",475,277.8,1.72,82,180.7,0.99,0.25,0.11,0.06,19,12
koalanoob,Ghost,"chamber,sage,jett",453,277.7,1.57,77,173.9,0.98,0.20,0.26,0.15,24,15
infiltrator,infiltrator,"chamber,jett",326,275.8,1.42,71,177.8,1.01,0.14,0.20,0.16,30,21
leaf,C9,"viper,jett,breach",476,275.4,1.27,69,171.9,0.94,0.21,0.23,0.16,23,29
bstrdd,TL,"skye,jett,omen",486,272.7,1.48,73,170.7,0.98,0.16,0.23,0.11,33,8
Jelly,Jelly,"kayo,skye,breach",246,272.3,1.36,73,172.1,0.96,0.28,0.12,0.07,36,29
Torrify,ZMM.S,"raze,chamber,jett",283,272.3,1.19,76,176.3,0.93,0.20,0.25,0.16,19,10
n1zzy,DXG,"cypher,chamber,jett",454,271.7,1.41,77,175.6,0.96,0.26,0.16,0.12,29,28
rawfiul,Enigma,"chamber,jett",1036,270.6,1.39,71,169.3,0.97,0.11,0.22,0.13,34,12
JUGi,FKS,"neon,jett",510,270.6,1.54,75,167.3,0.95,0.18,0.23,0.13,21,14
meL,C9W,"chamber,viper,killjoy",507,270.2,1.53,78,168.2,0.95,0.20,0.19,0.09,26,25
gin,AE,"raze,reyna,jett",424,270.1,1.15,69,174.3,0.91,0.19,0.22,0.20,26,14
RockeT,GKE,"raze,jett",298,269.1,1.27,71,170.3,0.95,0.16,0.20,0.16,31,14
ZmjjKK,EDG,"raze,chamber,jett",637,268.5,1.33,72,167.0,0.97,0.15,0.24,0.15,22,4
sym,LT,"raze,jett",1169,268.1,1.35,71,172.0,0.96,0.14,0.22,0.15,33,17
Ptero,SLR,chamber,238,265.7,1.65,76,166.9,0.98,0.21,0.15,0.07,16,14
L4CE,GX3,"chamber,sova,skye",268,264.1,1.49,76,169.7,0.96,0.19,0.14,0.08,33,7
Cryocells,XSET,"chamber,jett",492,263.8,1.48,73,161.2,0.97,0.14,0.20,0.13,24,17
Katriggered,VX,"raze,chamber,jett",581,263.8,1.42,75,164.2,0.91,0.19,0.19,0.10,15,20
aspas,LLL,"raze,jett",457,263.3,1.43,77,164.8,0.93,0.17,0.17,0.14,25,16
kaii,kaii,"chamber,jett",310,263.0,1.19,71,174.0,0.90,0.19,0.17,0.13,25,13
roca,EG,"raze,reyna,jett",212,263.0,1.18,73,168.0,0.89,0.21,0.24,0.14,27,38
Daniel0,BTS,jett,393,262.6,1.36,73,164.4,0.92,0.15,0.25,0.16,29,22
Neon,Akre,"raze,sage,jett",412,262.4,1.37,76,161.6,0.92,0.18,0.19,0.14,18,13
isla,ODDI,"reyna,skye,breach",461,262.1,1.48,77,171.3,0.94,0.23,0.13,0.09,26,8
Lakia,DRX,"raze,sova,skye",284,262.0,1.21,72,174.6,0.91,0.28,0.13,0.15,25,11
Kamiyu,Kamiyu,"raze,jett,breach",411,262.0,1.35,75,168.4,0.92,0.23,0.16,0.12,26,23
liazzi,LBRTY,"kayo,raze",201,261.6,1.15,73,165.0,0.86,0.31,0.15,0.10,22,18
crescents,crescents,"chamber,sage,omen",203,261.5,1.45,79,167.9,0.94,0.29,0.19,0.11,19,20
Mojer,STRM,"raze,neon,jett",444,261.3,1.16,72,166.1,0.89,0.24,0.19,0.15,24,25
Alexy,BRNV,"chamber,skye,jett",634,261.3,1.33,73,169.0,0.90,0.31,0.19,0.15,29,17
Clementine,Clementine,"sage,viper,astra",201,261.1,1.33,74,164.5,0.92,0.26,0.11,0.07,26,22
f0rsakeN,PRX,"kayo,neon,jett",699,260.9,1.23,75,165.4,0.91,0.19,0.24,0.17,25,12
kamo,NOM,"raze,jett",284,260.7,1.19,72,173.5,0.92,0.19,0.19,0.18,26,12
alexiiik,alexiiik,"raze,jett",488,260.6,1.24,68,165.6,0.91,0.19,0.22,0.17,24,11
DaveeyS,EXL,"raze,chamber,reyna",260,260.4,1.52,78,169.3,0.93,0.17,0.15,0.10,23,16
Smurfette,GUILD,"raze,jett",246,260.4,1.27,71,165.7,0.91,0.16,0.18,0.18,24,18
eluwu,eluwu,"neon,viper,jett",201,260.1,1.22,74,167.9,0.87,0.27,0.23,0.14,32,21
keznit,KRÜ,"raze,phoenix,kayo",452,260.0,1.20,71,166.4,0.86,0.26,0.17,0.13,21,15
RaM,DNAD,"kayo,raze,reyna",410,259.2,1.15,73,164.7,0.88,0.31,0.16,0.13,24,7
forbanz,forbanz,jett,271,259.0,1.35,70,161.4,0.94,0.14,0.18,0.14,27,16
Panmilez,GMD,"brimstone,viper,astra",318,258.7,1.28,74,168.4,0.91,0.29,0.12,0.09,29,13
Jemkin,CGV,"sage,jett",254,257.9,1.30,72,166.7,0.91,0.15,0.20,0.11,38,27
dicey,FaZe,"chamber,sage",521,257.7,1.52,77,166.6,0.95,0.14,0.17,0.09,31,18
Bizerra,TBK,"sova,skye,breach",332,257.7,1.30,78,172.4,0.88,0.32,0.10,0.08,24,7
H1ber,KOI,"raze,chamber,jett",298,257.3,1.09,70,165.4,0.86,0.23,0.22,0.18,22,18
Zoe,PLR,"sova,viper,killjoy",286,257.3,1.56,76,167.9,0.88,0.30,0.12,0.06,23,32
Bazzi,ONS,"raze,jett",492,257.1,1.33,74,157.8,0.86,0.18,0.20,0.13,16,9
Ayumiii,Ayumiii,"chamber,viper,jett",679,256.7,1.50,79,161.3,0.90,0.30,0.13,0.07,25,20
Munchkin,CR,"chamber,reyna,jett",426,256.3,1.22,73,162.0,0.86,0.18,0.28,0.16,25,15
DeepMans,WAVE,"raze,phoenix,jett",401,256.1,1.27,72,164.2,0.92,0.15,0.18,0.09,32,14
Chibab,MARU,jett,391,255.9,1.11,70,162.4,0.85,0.22,0.23,0.21,22,10
t3xture,DK,"raze,jett",451,255.7,1.24,71,163.4,0.90,0.15,0.23,0.19,29,19
Polvi,TEN,"raze,sage,jett",350,255.0,1.23,73,165.1,0.89,0.19,0.20,0.17,22,11
Derke,FNC,"raze,jett",318,254.5,1.12,69,164.0,0.89,0.19,0.24,0.19,26,15
Smoggy,Smoggy,"brimstone,sage,jett",923,253.9,1.33,74,164.0,0.92,0.21,0.17,0.13,35,19
Ninebody,Ninebody,"reyna,jett",771,253.8,1.22,72,162.2,0.87,0.19,0.19,0.15,29,11
Muffyn,X10F,"raze,jett",647,253.5,1.34,74,165.8,0.88,0.21,0.19,0.15,20,16
ScrewFace,DZ,"raze,jett",968,253.0,1.20,71,161.8,0.88,0.18,0.21,0.14,20,22
lule,CAOS,"raze,jett",462,252.8,1.23,73,165.3,0.92,0.22,0.20,0.16,18,20
sarahcat,IMT,"reyna,sova,breach",820,252.8,1.42,76,164.5,0.91,0.27,0.13,0.09,32,22
shooterR,Snakes,"raze,jett",646,252.8,1.20,71,162.2,0.90,0.15,0.22,0.16,35,9
tech,YFP,"raze,jett",484,252.4,1.13,73,159.4,0.88,0.19,0.21,0.16,26,15
sociablEE,FF,"raze,neon,jett",288,252.4,1.24,74,168.3,0.89,0.18,0.18,0.13,24,7
Redneval,FCY,"raze,jett",377,251.3,1.07,68,156.4,0.87,0.16,0.26,0.19,25,7
Chels,+22,"raze,chamber,jett",507,250.8,1.11,71,154.5,0.85,0.21,0.20,0.18,14,12
Fisker,FAV,"raze,reyna,skye",348,250.7,1.10,68,156.7,0.84,0.17,0.21,0.20,26,13
dgzin,GLB,"chamber,jett",209,250.6,1.29,71,154.9,0.88,0.15,0.21,0.15,25,21
tyti,Neme,"brimstone,chamber",431,250.4,1.25,70,160.1,0.88,0.18,0.15,0.08,26,9
Newky,ARES,"reyna,jett",385,249.4,1.31,73,160.8,0.92,0.18,0.16,0.12,35,39
TheGuyEdudz,TheGuyEdudz,"chamber,jett",302,249.0,1.06,69,162.3,0.83,0.21,0.21,0.20,24,10
Avez,RAAD,"raze,sova,skye",436,249.0,1.25,79,160.9,0.87,0.31,0.10,0.08,28,17
fr1,GKE,"raze,reyna",374,248.9,1.23,75,172.2,0.90,0.18,0.18,0.11,32,9
